Site,Size,Packaging_Type,Processing_Rate
"Detroit, MI",S1,Box,3469
"Detroit, MI",S1,Box,3488
"Detroit, MI",S1,Box,3561
"Detroit, MI",S1,Box,3405
"Detroit, MI",S1,Box,3284
"Detroit, MI",S1,Box,3375
"Detroit, MI",S1,Box,3381
"Detroit, MI",S1,Box,3141
"Detroit, MI",S1,Box,3358
"Detroit, MI",S1,Box,3531
"Detroit, MI",S1,Box,3340
"Detroit, MI",S1,Box,3460
"Detroit, MI",S1,Box,3310
"Detroit, MI",S1,Box,3404
"Detroit, MI",S1,Box,3553
"Detroit, MI",S1,Box,3309
"Detroit, MI",S1,Box,3576
"Detroit, MI",S1,Box,3298
"Detroit, MI",S1,Box,3413
"Detroit, MI",S1,Box,3504
"Detroit, MI",S1,Box,3425
"Detroit, MI",S1,Box,3505
"Detroit, MI",S1,Box,3365
"Detroit, MI",S1,Box,3532
"Detroit, MI",S1,Box,3419
"Detroit, MI",S1,Box,3469
"Detroit, MI",S1,Box,3441
"Detroit, MI",S1,Box,3424
"Detroit, MI",S1,Box,3362
"Detroit, MI",S1,Box,3405
"Detroit, MI",S1,Box,3498
"Detroit, MI",S1,Box,3601
"Detroit, MI",S1,Box,3507
"Detroit, MI",S1,Box,3352
"Detroit, MI",S1,Box,3388
"Detroit, MI",S1,Box,3379
"Detroit, MI",S1,Box,3388
"Detroit, MI",S1,Box,3387
"Detroit, MI",S1,Box,3365
"Detroit, MI",S1,Box,3400
"Detroit, MI",S1,Box,3531
"Detroit, MI",S1,Box,3507
"Detroit, MI",S1,Box,3421
"Detroit, MI",S1,Box,3504
"Detroit, MI",S1,Box,3385
"Detroit, MI",S1,Box,3381
"Detroit, MI",S1,Box,3634
"Detroit, MI",S1,Box,3262
"Detroit, MI",S1,Box,3288
"Detroit, MI",S1,Box,3528
"Detroit, MI",S1,Box,3486
"Detroit, MI",S1,Box,3301
"Detroit, MI",S1,Box,3343
"Detroit, MI",S1,Box,3341
"Detroit, MI",S1,Box,3591
"Detroit, MI",S1,Box,3463
"Detroit, MI",S1,Box,3406
"Detroit, MI",S1,Box,3457
"Detroit, MI",S1,Box,3467
"Detroit, MI",S1,Box,3365
"Detroit, MI",S1,Box,3360
"Detroit, MI",S1,Box,3408
"Detroit, MI",S1,Box,3345
"Detroit, MI",S1,Box,3464
"Detroit, MI",S1,Box,3461
"Detroit, MI",S1,Box,3415
"Detroit, MI",S1,Box,3267
"Detroit, MI",S1,Box,3344
"Detroit, MI",S1,Box,3535
"Detroit, MI",S1,Box,3493
"Detroit, MI",S1,Box,3490
"Detroit, MI",S1,Box,3632
"Detroit, MI",S1,Box,3188
"Detroit, MI",S1,Box,3201
"Detroit, MI",S1,Box,3247
"Detroit, MI",S1,Box,3328
"Detroit, MI",S1,Box,3366
"Detroit, MI",S1,Box,3351
"Detroit, MI",S1,Box,3331
"Detroit, MI",S1,Box,3405
"Detroit, MI",S1,Box,3348
"Detroit, MI",S1,Box,3407
"Detroit, MI",S1,Box,3423
"Detroit, MI",S1,Box,3125
"Detroit, MI",S1,Box,3407
"Detroit, MI",S1,Box,3480
"Detroit, MI",S1,Box,3299
"Detroit, MI",S1,Box,3710
"Detroit, MI",S1,Box,3346
"Detroit, MI",S1,Box,3489
"Detroit, MI",S1,Box,3565
"Detroit, MI",S1,Box,3402
"Detroit, MI",S1,Box,3183
"Detroit, MI",S1,Box,3429
"Detroit, MI",S1,Box,3518
"Detroit, MI",S1,Box,3287
"Detroit, MI",S1,Box,3405
"Detroit, MI",S1,Box,3305
"Detroit, MI",S1,Box,3632
"Detroit, MI",S1,Box,3431
"Detroit, MI",S1,Box,3411
"Detroit, MI",S1,Box,3403
"Detroit, MI",S1,Box,3401
"Detroit, MI",S1,Box,3549
"Detroit, MI",S1,Box,3680
"Detroit, MI",S1,Box,3445
"Detroit, MI",S1,Box,3396
"Detroit, MI",S1,Box,3329
"Detroit, MI",S1,Box,3344
"Detroit, MI",S1,Box,3590
"Detroit, MI",S1,Box,3378
"Detroit, MI",S1,Box,3449
"Detroit, MI",S1,Box,3337
"Detroit, MI",S1,Box,3218
"Detroit, MI",S1,Box,3387
"Detroit, MI",S1,Box,3416
"Detroit, MI",S1,Box,3426
"Detroit, MI",S1,Box,3308
"Detroit, MI",S1,Box,3581
"Detroit, MI",S1,Box,3424
"Detroit, MI",S1,Box,3311
"Detroit, MI",S1,Box,3531
"Detroit, MI",S1,Box,3408
"Detroit, MI",S1,Box,3442
"Detroit, MI",S1,Box,3255
"Detroit, MI",S1,Box,3320
"Detroit, MI",S1,Box,3429
"Detroit, MI",S1,Box,3365
"Detroit, MI",S1,Box,3498
"Detroit, MI",S1,Box,3517
"Detroit, MI",S1,Box,3471
"Detroit, MI",S1,Box,3479
"Detroit, MI",S1,Box,3636
"Detroit, MI",S1,Box,3464
"Detroit, MI",S1,Box,3409
"Detroit, MI",S1,Box,3451
"Detroit, MI",S1,Box,3374
"Detroit, MI",S1,Box,3494
"Detroit, MI",S1,Box,3430
"Detroit, MI",S1,Box,3517
"Detroit, MI",S1,Box,3274
"Detroit, MI",S1,Box,3519
"Detroit, MI",S1,Box,3485
"Detroit, MI",S1,Box,3433
"Detroit, MI",S1,Box,3463
"Detroit, MI",S1,Box,3237
"Detroit, MI",S1,Box,3316
"Detroit, MI",S1,Box,3318
"Detroit, MI",S1,Box,3531
"Detroit, MI",S1,Box,3475
"Detroit, MI",S1,Box,3375
"Detroit, MI",S1,Box,3529
"Detroit, MI",S1,Box,3256
"Detroit, MI",S1,Box,3457
"Detroit, MI",S1,Box,3502
"Detroit, MI",S1,Box,3500
"Detroit, MI",S1,Box,3473
"Detroit, MI",S1,Box,3299
"Detroit, MI",S1,Box,3404
"Detroit, MI",S1,Box,3302
"Detroit, MI",S1,Box,3361
"Detroit, MI",S1,Box,3375
"Detroit, MI",S1,Box,3414
"Detroit, MI",S1,Box,3362
"Detroit, MI",S1,Box,3481
"Detroit, MI",S1,Box,3410
"Detroit, MI",S1,Box,3410
"Detroit, MI",S1,Box,3416
"Detroit, MI",S1,Box,3352
"Detroit, MI",S1,Box,3410
"Detroit, MI",S1,Box,3504
"Detroit, MI",S1,Box,3408
"Detroit, MI",S1,Box,3357
"Detroit, MI",S1,Box,3438
"Detroit, MI",S1,Box,3389
"Detroit, MI",S1,Box,3382
"Detroit, MI",S1,Box,3352
"Detroit, MI",S1,Box,3277
"Detroit, MI",S1,Box,3425
"Detroit, MI",S1,Box,3417
"Detroit, MI",S1,Box,3399
"Detroit, MI",S1,Box,3526
"Detroit, MI",S1,Box,3702
"Detroit, MI",S1,Box,3338
"Detroit, MI",S1,Box,3466
"Detroit, MI",S1,Box,3391
"Detroit, MI",S1,Box,3390
"Detroit, MI",S1,Box,3593
"Detroit, MI",S1,Box,3391
"Detroit, MI",S1,Box,3516
"Detroit, MI",S1,Box,3438
"Detroit, MI",S1,Box,3439
"Detroit, MI",S1,Box,3526
"Detroit, MI",S1,Box,3475
"Detroit, MI",S1,Box,3443
"Detroit, MI",S1,Box,3548
"Detroit, MI",S1,Box,3336
"Detroit, MI",S1,Box,3534
"Detroit, MI",S1,Box,3448
"Detroit, MI",S1,Box,3426
"Detroit, MI",S1,Box,3595
"Detroit, MI",S1,Box,3613
"Detroit, MI",S1,Box,3541
"Detroit, MI",S1,Box,3393
"Detroit, MI",S1,Box,3503
"Detroit, MI",S1,Box,3456
"Detroit, MI",S1,Box,3305
"Detroit, MI",S1,Box,3265
"Detroit, MI",S1,Box,3381
"Detroit, MI",S1,Box,3405
"Detroit, MI",S1,Box,3278
"Detroit, MI",S1,Box,3311
"Detroit, MI",S1,Box,3269
"Detroit, MI",S1,Box,3406
"Detroit, MI",S1,Box,3368
"Detroit, MI",S1,Box,3291
"Detroit, MI",S1,Box,3584
"Detroit, MI",S1,Box,3488
"Detroit, MI",S1,Box,3299
"Detroit, MI",S1,Box,3397
"Detroit, MI",S1,Box,3339
"Detroit, MI",S1,Box,3361
"Detroit, MI",S1,Box,3453
"Detroit, MI",S1,Box,3421
"Detroit, MI",S1,Box,3357
"Detroit, MI",S1,Box,3448
"Detroit, MI",S1,Box,3491
"Detroit, MI",S1,Box,3357
"Detroit, MI",S1,Box,3180
"Detroit, MI",S1,Box,3238
"Detroit, MI",S1,Box,3347
"Detroit, MI",S1,Box,3603
"Detroit, MI",S1,Box,3586
"Detroit, MI",S1,Box,3501
"Detroit, MI",S1,Box,3662
"Detroit, MI",S1,Box,3615
"Detroit, MI",S1,Box,3478
"Detroit, MI",S1,Box,3437
"Detroit, MI",S1,Box,3474
"Detroit, MI",S1,Box,3459
"Detroit, MI",S1,Box,3345
"Detroit, MI",S1,Box,3296
"Detroit, MI",S1,Box,3376
"Detroit, MI",S1,Box,3377
"Detroit, MI",S1,Box,3450
"Detroit, MI",S1,Box,3453
"Detroit, MI",S1,Box,3354
"Detroit, MI",S1,Box,3349
"Detroit, MI",S1,Box,3618
"Detroit, MI",S1,Box,3271
"Detroit, MI",S1,Box,3486
"Detroit, MI",S1,Box,3499
"Detroit, MI",S1,Box,3472
"Detroit, MI",S1,Box,3396
"Detroit, MI",S1,Box,3343
"Detroit, MI",S1,Box,3510
"Detroit, MI",S1,Box,3415
"Detroit, MI",S1,Box,3408
"Detroit, MI",S1,Box,3425
"Detroit, MI",S1,Box,3371
"Detroit, MI",S1,Box,3442
"Detroit, MI",S1,Box,3307
"Detroit, MI",S1,Box,3573
"Detroit, MI",S1,Box,3591
"Detroit, MI",S1,Box,3330
"Detroit, MI",S1,Box,3394
"Detroit, MI",S1,Box,3358
"Detroit, MI",S1,Box,3399
"Detroit, MI",S1,Box,3421
"Detroit, MI",S1,Box,3384
"Detroit, MI",S1,Box,3332
"Detroit, MI",S1,Box,3296
"Detroit, MI",S1,Box,3477
"Detroit, MI",S1,Box,3559
"Detroit, MI",S1,Box,3503
"Detroit, MI",S1,Box,3302
"Detroit, MI",S1,Box,3221
"Detroit, MI",S1,Box,3240
"Detroit, MI",S1,Box,3673
"Detroit, MI",S1,Box,3636
"Detroit, MI",S1,Box,3596
"Detroit, MI",S1,Box,3378
"Detroit, MI",S1,Box,3416
"Detroit, MI",S1,Box,3483
"Detroit, MI",S1,Box,3353
"Detroit, MI",S1,Box,3584
"Detroit, MI",S1,Box,3534
"Detroit, MI",S1,Box,3329
"Detroit, MI",S1,Box,3397
"Detroit, MI",S1,Box,3425
"Detroit, MI",S1,Box,3305
"Detroit, MI",S1,Box,3457
"Detroit, MI",S1,Box,3368
"Detroit, MI",S1,Box,3459
"Detroit, MI",S1,Box,3522
"Detroit, MI",S1,Box,3391
"Detroit, MI",S1,Box,3394
"Detroit, MI",S1,Box,3393
"Detroit, MI",S1,Box,3468
"Detroit, MI",S1,Box,3500
"Detroit, MI",S1,Box,3500
"Detroit, MI",S1,Box,3371
"Detroit, MI",S1,Box,3275
"Detroit, MI",S1,Box,3453
"Detroit, MI",S1,Box,3399
"Detroit, MI",S1,Box,3470
"Detroit, MI",S1,Box,3461
"Detroit, MI",S1,Box,3485
"Detroit, MI",S1,Box,3487
"Detroit, MI",S1,Box,3554
"Detroit, MI",S1,Box,3367
"Detroit, MI",S1,Box,3459
"Detroit, MI",S1,Box,3351
"Detroit, MI",S1,Box,3448
"Detroit, MI",S1,Box,3536
"Detroit, MI",S1,Box,3520
"Detroit, MI",S1,Box,3361
"Detroit, MI",S1,Box,3367
"Detroit, MI",S1,Box,3326
"Detroit, MI",S1,Box,3501
"Detroit, MI",S1,Box,3424
"Detroit, MI",S1,Box,3647
"Detroit, MI",S1,Box,3609
"Detroit, MI",S1,Box,3254
"Detroit, MI",S1,Box,3535
"Detroit, MI",S1,Box,3268
"Detroit, MI",S1,Box,3314
"Detroit, MI",S1,Box,3646
"Detroit, MI",S1,Box,3400
"Detroit, MI",S1,Box,3413
"Detroit, MI",S1,Box,3509
"Detroit, MI",S1,Box,3226
"Detroit, MI",S1,Box,3525
"Detroit, MI",S1,Box,3323
"Detroit, MI",S1,Box,3301
"Detroit, MI",S1,Box,3298
"Detroit, MI",S1,Box,3469
"Detroit, MI",S1,Box,3364
"Detroit, MI",S1,Box,3559
"Detroit, MI",S1,Box,3427
"Detroit, MI",S1,Box,3455
"Detroit, MI",S1,Box,3320
"Detroit, MI",S1,Box,3387
"Detroit, MI",S1,Box,3524
"Detroit, MI",S1,Box,3288
"Detroit, MI",S1,Box,3404
"Detroit, MI",S1,Box,3486
"Detroit, MI",S1,Box,3555
"Detroit, MI",S1,Box,3287
"Detroit, MI",S1,Box,3436
"Detroit, MI",S1,Box,3494
"Detroit, MI",S1,Box,3335
"Detroit, MI",S1,Box,3407
"Detroit, MI",S1,Box,3261
"Detroit, MI",S1,Box,3479
"Detroit, MI",S1,Box,3341
"Detroit, MI",S1,Box,3448
"Detroit, MI",S1,Box,3328
"Detroit, MI",S1,Box,3361
"Detroit, MI",S1,Box,3370
"Detroit, MI",S1,Box,3377
"Detroit, MI",S1,Box,3320
"Detroit, MI",S1,Box,3645
"Detroit, MI",S1,Box,3533
"Detroit, MI",S1,Box,3580
"Detroit, MI",S1,Box,3425
"Detroit, MI",S1,Box,3512
"Detroit, MI",S1,Box,3214
"Detroit, MI",S1,Box,3565
"Detroit, MI",S1,Box,3302
"Detroit, MI",S1,Box,3306
"Detroit, MI",S1,Box,3507
"Detroit, MI",S1,Box,3422
"Detroit, MI",S1,Box,3380
"Detroit, MI",S1,Box,3438
"Detroit, MI",S1,Box,3481
"Detroit, MI",S1,Box,3381
"Detroit, MI",S1,Box,3357
"Detroit, MI",S1,Box,3391
"Detroit, MI",S1,Box,3547
"Detroit, MI",S1,Box,3326
"Detroit, MI",S1,Box,3386
"Detroit, MI",S1,Box,3399
"Detroit, MI",S1,Box,3568
"Detroit, MI",S1,Box,3354
"Detroit, MI",S1,Box,3362
"Detroit, MI",S1,Box,3241
"Detroit, MI",S1,Box,3543
"Detroit, MI",S1,Box,3293
"Detroit, MI",S1,Box,3517
"Detroit, MI",S1,Box,3434
"Detroit, MI",S1,Box,3357
"Detroit, MI",S1,Box,3458
"Detroit, MI",S1,Box,3299
"Detroit, MI",S1,Box,3227
"Detroit, MI",S1,Box,3550
"Detroit, MI",S1,Box,3655
"Detroit, MI",S1,Box,3559
"Detroit, MI",S1,Box,3583
"Detroit, MI",S1,Box,3236
"Detroit, MI",S1,Box,3313
"Detroit, MI",S1,Box,3360
"Detroit, MI",S1,Box,3676
"Detroit, MI",S1,Box,3315
"Detroit, MI",S1,Box,3392
"Detroit, MI",S1,Box,3586
"Detroit, MI",S1,Box,3541
"Detroit, MI",S1,Box,3472
"Detroit, MI",S1,Box,3368
"Detroit, MI",S1,Box,3278
"Detroit, MI",S1,Box,3471
"Detroit, MI",S1,Box,3391
"Detroit, MI",S1,Box,3422
"Detroit, MI",S1,Box,3321
"Detroit, MI",S1,Box,3345
"Detroit, MI",S1,Box,3308
"Detroit, MI",S1,Box,3343
"Detroit, MI",S1,Box,3369
"Detroit, MI",S1,Box,3447
"Detroit, MI",S1,Box,3407
"Detroit, MI",S1,Box,3351
"Detroit, MI",S1,Box,3437
"Detroit, MI",S1,Box,3464
"Detroit, MI",S1,Box,3531
"Detroit, MI",S1,Box,3424
"Detroit, MI",S1,Box,3329
"Detroit, MI",S1,Box,3517
"Detroit, MI",S1,Box,3517
"Detroit, MI",S1,Box,3315
"Detroit, MI",S1,Box,3517
"Detroit, MI",S1,Box,3444
"Detroit, MI",S1,Box,3393
"Detroit, MI",S1,Box,3481
"Detroit, MI",S1,Box,3353
"Detroit, MI",S1,Box,3617
"Detroit, MI",S1,Box,3228
"Detroit, MI",S1,Box,3369
"Detroit, MI",S1,Box,3259
"Detroit, MI",S1,Box,3239
"Detroit, MI",S1,Box,3491
"Detroit, MI",S1,Box,3349
"Detroit, MI",S1,Box,3701
"Detroit, MI",S1,Box,3506
"Detroit, MI",S1,Box,3468
"Detroit, MI",S1,Box,3429
"Detroit, MI",S1,Box,3399
"Detroit, MI",S1,Box,3494
"Detroit, MI",S1,Box,3580
"Detroit, MI",S1,Box,3402
"Detroit, MI",S1,Box,3425
"Detroit, MI",S1,Box,3365
"Detroit, MI",S1,Box,3279
"Detroit, MI",S1,Box,3474
"Detroit, MI",S1,Box,3352
"Detroit, MI",S1,Box,3540
"Detroit, MI",S1,Box,3293
"Detroit, MI",S1,Box,3413
"Detroit, MI",S1,Box,3503
"Detroit, MI",S1,Box,3315
"Detroit, MI",S1,Box,3562
"Detroit, MI",S1,Box,3403
"Detroit, MI",S1,Box,3377
"Detroit, MI",S1,Box,3467
"Detroit, MI",S1,Box,3530
"Detroit, MI",S1,Box,3387
"Detroit, MI",S1,Box,3340
"Detroit, MI",S1,Box,3431
"Detroit, MI",S1,Box,3432
"Detroit, MI",S1,Box,3359
"Detroit, MI",S1,Box,3404
"Detroit, MI",S1,Box,3494
"Detroit, MI",S1,Box,3615
"Detroit, MI",S1,Box,3589
"Detroit, MI",S1,Box,3250
"Detroit, MI",S1,Box,3403
"Detroit, MI",S1,Box,3426
"Detroit, MI",S1,Box,3516
"Detroit, MI",S1,Box,3446
"Detroit, MI",S1,Box,3391
"Detroit, MI",S1,Box,3500
"Detroit, MI",S1,Box,3377
"Detroit, MI",S1,Box,3540
"Detroit, MI",S1,Box,3600
"Detroit, MI",S1,Box,3458
"Detroit, MI",S1,Box,3562
"Detroit, MI",S1,Box,3310
"Detroit, MI",S1,Box,3392
"Detroit, MI",S1,Box,3422
"Detroit, MI",S1,Box,3637
"Detroit, MI",S1,Box,3300
"Detroit, MI",S1,Box,3285
"Detroit, MI",S1,Box,3250
"Detroit, MI",S1,Box,3344
"Detroit, MI",S1,Box,3430
"Detroit, MI",S1,Box,3361
"Detroit, MI",S1,Box,3351
"Detroit, MI",S1,Box,3423
"Detroit, MI",S1,Box,3290
"Detroit, MI",S1,Box,3464
"Detroit, MI",S1,Box,3391
"Detroit, MI",S1,Box,3443
"Detroit, MI",S1,Box,3501
"Detroit, MI",S1,Box,3390
"Detroit, MI",S1,Box,3381
"Detroit, MI",S1,Box,3349
"Detroit, MI",S1,Box,3340
"Detroit, MI",S1,Box,3279
"Detroit, MI",S1,Box,3465
"Detroit, MI",S1,Box,3353
"Detroit, MI",S1,Box,3436
"Detroit, MI",S1,Box,3387
"Detroit, MI",S1,Box,3414
"Detroit, MI",S1,Box,3614
"Detroit, MI",S1,Box,3324
"Detroit, MI",S1,Box,3425
"Detroit, MI",S1,Box,3235
"Detroit, MI",S1,Box,3574
"Detroit, MI",S1,Box,3273
"Detroit, MI",S1,Box,3462
"Detroit, MI",S1,Box,3309
"Detroit, MI",S1,Box,3586
"Detroit, MI",S1,Box,3381
"Detroit, MI",S1,Box,3497
"Detroit, MI",S1,Box,3585
"Detroit, MI",S1,Box,3471
"Detroit, MI",S1,Box,3472
"Detroit, MI",S1,Box,3351
"Detroit, MI",S1,Box,3370
"Detroit, MI",S1,Box,3518
"Detroit, MI",S1,Box,3434
"Detroit, MI",S1,Box,3603
"Detroit, MI",S1,Box,3395
"Detroit, MI",S1,Box,3341
"Detroit, MI",S1,Box,3629
"Detroit, MI",S1,Box,3591
"Detroit, MI",S1,Box,3402
"Detroit, MI",S1,Box,3411
"Detroit, MI",S1,Box,3340
"Detroit, MI",S1,Box,3407
"Detroit, MI",S1,Box,3334
"Detroit, MI",S1,Box,3218
"Detroit, MI",S1,Box,3421
"Detroit, MI",S1,Box,3326
"Detroit, MI",S1,Box,3374
"Detroit, MI",S1,Box,3189
"Detroit, MI",S1,Box,3299
"Detroit, MI",S1,Box,3493
"Detroit, MI",S1,Box,3328
"Detroit, MI",S1,Box,3594
"Detroit, MI",S1,Box,3340
"Detroit, MI",S1,Box,3435
"Detroit, MI",S1,Box,3449
"Detroit, MI",S1,Box,3463
"Detroit, MI",S1,Box,3491
"Detroit, MI",S1,Box,3392
"Detroit, MI",S1,Box,3417
"Detroit, MI",S1,Box,3411
"Detroit, MI",S1,Box,3376
"Detroit, MI",S1,Box,3240
"Detroit, MI",S1,Box,3406
"Detroit, MI",S1,Box,3454
"Detroit, MI",S1,Box,3422
"Detroit, MI",S1,Box,3514
"Detroit, MI",S1,Box,3457
"Detroit, MI",S1,Box,3498
"Detroit, MI",S1,Box,3389
"Detroit, MI",S1,Box,3539
"Detroit, MI",S1,Box,3385
"Detroit, MI",S1,Box,3529
"Detroit, MI",S1,Box,3487
"Detroit, MI",S1,Box,3486
"Detroit, MI",S1,Box,3403
"Detroit, MI",S1,Box,3377
"Detroit, MI",S1,Box,3370
"Detroit, MI",S1,Box,3491
"Detroit, MI",S1,Box,3452
"Detroit, MI",S1,Box,3384
"Detroit, MI",S1,Box,3437
"Detroit, MI",S1,Box,3289
"Detroit, MI",S1,Box,3355
"Detroit, MI",S1,Box,3468
"Detroit, MI",S1,Box,3369
"Detroit, MI",S1,Box,3423
"Detroit, MI",S1,Box,3310
"Detroit, MI",S1,Box,3439
"Detroit, MI",S1,Box,3406
"Detroit, MI",S1,Box,3286
"Detroit, MI",S1,Box,3369
"Detroit, MI",S1,Box,3584
"Detroit, MI",S1,Box,3341
"Detroit, MI",S1,Box,3440
"Detroit, MI",S1,Box,3239
"Detroit, MI",S1,Box,3327
"Detroit, MI",S1,Box,3543
"Detroit, MI",S1,Box,3390
"Detroit, MI",S1,Box,3541
"Detroit, MI",S1,Box,3421
"Detroit, MI",S1,Box,3439
"Detroit, MI",S1,Box,3503
"Detroit, MI",S1,Box,3506
"Detroit, MI",S1,Box,3570
"Detroit, MI",S1,Box,3336
"Detroit, MI",S1,Box,3261
"Detroit, MI",S1,Box,3197
"Detroit, MI",S1,Box,3395
"Detroit, MI",S1,Box,3175
"Detroit, MI",S1,Box,3389
"Detroit, MI",S1,Box,3266
"Detroit, MI",S1,Box,3534
"Detroit, MI",S1,Box,3433
"Detroit, MI",S1,Box,3596
"Detroit, MI",S1,Box,3404
"Detroit, MI",S1,Box,3410
"Detroit, MI",S1,Box,3297
"Detroit, MI",S1,Box,3314
"Detroit, MI",S1,Box,3295
"Detroit, MI",S1,Box,3427
"Detroit, MI",S1,Box,3485
"Detroit, MI",S1,Box,3363
"Detroit, MI",S1,Box,3282
"Detroit, MI",S1,Box,3547
"Detroit, MI",S1,Box,3518
"Detroit, MI",S1,Box,3444
"Detroit, MI",S1,Box,3348
"Detroit, MI",S1,Box,3400
"Detroit, MI",S1,Box,3422
"Detroit, MI",S1,Box,3334
"Detroit, MI",S1,Box,3469
"Detroit, MI",S1,Box,3572
"Detroit, MI",S1,Box,3384
"Detroit, MI",S1,Box,3280
"Detroit, MI",S1,Box,3355
"Detroit, MI",S1,Box,3431
"Detroit, MI",S1,Box,3239
"Detroit, MI",S1,Box,3510
"Detroit, MI",S1,Box,3552
"Detroit, MI",S1,Box,3373
"Detroit, MI",S1,Box,3433
"Detroit, MI",S1,Box,3259
"Detroit, MI",S1,Box,3452
"Detroit, MI",S1,Box,3476
"Detroit, MI",S1,Box,3458
"Detroit, MI",S1,Box,3344
"Detroit, MI",S1,Box,3375
"Detroit, MI",S1,Box,3484
"Detroit, MI",S1,Box,3454
"Detroit, MI",S1,Box,3426
"Detroit, MI",S1,Box,3541
"Detroit, MI",S1,Box,3419
"Detroit, MI",S1,Box,3447
"Detroit, MI",S1,Box,3291
"Detroit, MI",S1,Box,3413
"Detroit, MI",S1,Box,3324
"Detroit, MI",S1,Box,3401
"Detroit, MI",S1,Box,3437
"Detroit, MI",S1,Box,3613
"Detroit, MI",S1,Box,3418
"Detroit, MI",S1,Box,3499
"Detroit, MI",S1,Box,3419
"Detroit, MI",S1,Box,3391
"Detroit, MI",S1,Box,3537
"Detroit, MI",S1,Box,3364
"Detroit, MI",S1,Box,3384
"Detroit, MI",S1,Box,3270
"Detroit, MI",S1,Box,3434
"Detroit, MI",S1,Box,3469
"Detroit, MI",S1,Box,3562
"Detroit, MI",S1,Box,3308
"Detroit, MI",S1,Box,3528
"Detroit, MI",S1,Box,3488
"Detroit, MI",S1,Box,3383
"Detroit, MI",S1,Box,3382
"Detroit, MI",S1,Box,3513
"Detroit, MI",S1,Box,3496
"Detroit, MI",S1,Box,3306
"Detroit, MI",S1,Box,3530
"Detroit, MI",S1,Box,3517
"Detroit, MI",S1,Box,3472
"Detroit, MI",S1,Box,3603
"Detroit, MI",S1,Box,3500
"Detroit, MI",S1,Box,3444
"Detroit, MI",S1,Box,3542
"Detroit, MI",S1,Box,3426
"Detroit, MI",S1,Box,3406
"Detroit, MI",S1,Box,3140
"Detroit, MI",S1,Box,3570
"Detroit, MI",S1,Box,3347
"Detroit, MI",S1,Box,3428
"Detroit, MI",S1,Box,3430
"Detroit, MI",S1,Box,3156
"Detroit, MI",S1,Box,3475
"Detroit, MI",S1,Box,3535
"Detroit, MI",S1,Box,3460
"Detroit, MI",S1,Box,3287
"Detroit, MI",S1,Box,3442
"Detroit, MI",S1,Box,3451
